index,name,tags,ingredients,wait_time,calories,img
1,arroz con leche,"Agua, canela, arroz, leche condensada, leche evaporada, pasas, azúcar,vegetariano,postre,dulce,norte, centro, sur","Agua, canela, arroz, leche condensada, leche evaporada, pasas, azúcar,",50,111,./Dataset/ArrozConLeche
2,asado de puerco,"Chile ancho, chile pasilla, concentrado de tomate, cebolla, ajo, agua, aceite, lomo de cerdo,no vegetariano,principal,salado, picante,norte, centro, sur","Chile ancho, chile pasilla, concentrado de tomate, cebolla, ajo, agua, aceite, lomo de cerdo,",47,375,./Dataset/AsadoDePuerco
3,ate,"Guayaba, agua, azúcar, limón, manzana, membrillo,vegetariano,dulce,dulce,norte, centro","Guayaba, agua, azúcar, limón, manzana, membrillo,",100,103,./Dataset/Ate
4,barbacoa,"Chile guajillo, chile de árbol, comino, orégano, cebolla, ajo, sal, pimienta, laurel, carne de res,no vegetariano,principal,salado,norte, centro, sur","Chile guajillo, chile de árbol, comino, orégano, cebolla, ajo, sal, pimienta, laurel, carne de res,",60,177,./Dataset/Barbacoa
5,birria,"Chile ancho, chile guajillo, chile cascabel, cebolla, vinagre, ajo, canela, comino, pimienta, orégano, clavos, carne de res, sal, cilantro, no vegetariano,principal,salado, picante,centro","Chile ancho, chile guajillo, chile cascabel, cebolla, vinagre, ajo, canela, comino, pimienta, orégano, clavos, carne de res, sal, cilantro, ",90,342,./Dataset/Birria
6,buñuelos,"Harina, plovo para hornear, azúcar, sal, huevo, cuchara de mantequilla, agua, esencia de vainilla, piloncillo, canela, guayabas, anís, naranja,vegetariano,postre,dulce,centro, sur,","Harina, plovo para hornear, azúcar, sal, huevo, cuchara de mantequilla, agua, esencia de vainilla, piloncillo, canela, guayabas, anís, naranja,",40,173,./Dataset/Bunuelos
7,burritos,"Tortilla de harina, aceite, cebolla, chile morrón, carne, frijol, sal, pimienta, queso, ajo, perejil, jitomate, cilantro, aguacate, limón,no vegetariano,principal,salado,norte","Tortilla de harina, aceite, cebolla, chile morrón, carne, frijol, sal, pimienta, queso, ajo, perejil, jitomate, cilantro, aguacate, limón,",30,628,./Dataset/Burritos
8,cabrito al pastor,"Cabrito, tomillo, romero, aceite de oliva, sal,no vegetariano,principal,salado,norte","Cabrito, tomillo, romero, aceite de oliva, sal,",165,143,./Dataset/CabritoAlPastor
9,carne asada,"Romero, paprika, pimienta negra, ajo, carne de res, aceite, cebolla, clavo, jengibre,no vegetariano,principal,salado,norte","Romero, paprika, pimienta negra, ajo, carne de res, aceite, cebolla, clavo, jengibre,",45,266,./Dataset/CarneAsada
10,ceviche,"Limón, cebolla, filete de pescado, tomate, pepino, cilantro, caldo de pollo, sal,no vegetariano,principal,salado, dulce,sur","Limón, cebolla, filete de pescado, tomate, pepino, cilantro, caldo de pollo, sal,",40,140,./Dataset/Ceviche
11,chilaquiles,"Tomate, chile guajillo, ajo, cebolla, aceite, epazote, sal, totopos, frijoles, queso crema, crema, huevo, pollo,no vegetariano,principal,salado, picante, ácido,norte, centro, sur","Tomate, chile guajillo, ajo, cebolla, aceite, epazote, sal, totopos, frijoles, queso crema, crema, huevo, pollo,",40,443,./Dataset/Chilaquiles
12,chile en nogada,"Chile poblano, perejil, cebolla, ajo, carne de res, acitrón, pasita, almendra, azúcar, canela, sal, manteca, nuez, queso crema, vino blanco, leche de vaca,no vegetariano,principal,salado, picante, ácido,centro","Chile poblano, perejil, cebolla, ajo, carne de res, acitrón, pasita, almendra, azúcar, canela, sal, manteca, nuez, queso crema, vino blanco, leche de vaca,",95,763,./Dataset/ChileEnNogada
13,chiles rellenos,"Chile poblano, queso panela, huevo, harina de trigo, aceite de maíz, jitomate, agua, orégano,vegetariano,principal,salado, picante, ácido,centro","Chile poblano, queso panela, huevo, harina de trigo, aceite de maíz, jitomate, agua, orégano,",40,357,./Dataset/ChilesRellenos
14,chimichangas,"Leche evaporada, aguacate, tortilla de harina, aceite, chile jalapeño, frijoles refritos, pechuga de pollo, sal, cebolla,no vegetariano,principal,salado,centro, sur","Leche evaporada, aguacate, tortilla de harina, aceite, chile jalapeño, frijoles refritos, pechuga de pollo, sal, cebolla,",35,244,./Dataset/Chimichangas
15,churros,"Harina de trigo, agua, sal, azúcar, aceite,vegetariano,postre,dulce,norte, centro, sur","Harina de trigo, agua, sal, azúcar, aceite,",30,361,./Dataset/Churros
16,cocada,"Leche, azúcar, coco, agua, huevos, almendras,vegetariano,dulce,dulce,centro, sur","Leche, azúcar, coco, agua, huevos, almendras,",135,500,./Dataset/Cocada
17,cochinita pibil,"Achiote, naranja, pimienta, canela, agua, comino, laurel, sal, cerdo, manteca, hoja de plátano, chile habanero, cebolla, jugo de limón, jugo de naranja, orégano,no vegetariano,principal,salado, picante, amargo,centro, sur","Achiote, naranja, pimienta, canela, agua, comino, laurel, sal, cerdo, manteca, hoja de plátano, chile habanero, cebolla, jugo de limón, jugo de naranja, orégano,",90,142,./Dataset/CochinitaPibil
18,cortadillo,"Manteca, aceite, carne de res, sal, ajo, pimienta, comino, cebolla, tomate, agua,no vegetariano,principal,salado, picante,norte,40,596,","Manteca, aceite, carne de res, sal, ajo, pimienta, comino, cebolla, tomate, agua,",40,596,./Dataset/Cortadillo
19,cubiletes de queso,"Harina, mantequilla, azúcar, esencia de vainilla, huevos, sal, queso crema, lecha condensada, azúcar glass,vegetariano,postre,dulce,centro","Harina, mantequilla, azúcar, esencia de vainilla, huevos, sal, queso crema, lecha condensada, azúcar glass,",90,273,./Dataset/CubiletesDeQueso
20,dulce de tamarindo,"Tamarindo, azúcar, agua, limón, chile piquín, sal,vegetariano,dulce,dulce, picante, ácido,norte, centro, sur","Tamarindo, azúcar, agua, limón, chile piquín, sal,",90,72,./Dataset/DulceDeTamarindo
21,elote preparado,"Elote, sal, limón, mayonesa, queso, chile en polvo,vegetariano,antojito,salado, picante, ácido,norte, centro, sur,","Elote, sal, limón, mayonesa, queso, chile en polvo,",40,106,./Dataset/ElotePreparado
22,enchiladas rojas,"Jitomate, cebolla, ajo, chile de árbol, agua, tortilla, pimienta, sal, cilantro, pollo, lechuga, crema, queso,no vegetariano,principal,salado, picante,norte, centro","Jitomate, cebolla, ajo, chile de árbol, agua, tortilla, pimienta, sal, cilantro, pollo, lechuga, crema, queso,",45,168,./Dataset/EnchiladasRojas
23,enchiladas verdes,"Pollo, cebolla, chile serrano, tomate verde, ajo, cilantro, queso, tortillas, aceite vegetal, sal, crema ácida, lechuga,no vegetariano,principal,salado, picante, ácido,norte, centro","Pollo, cebolla, chile serrano, tomate verde, ajo, cilantro, queso, tortillas, aceite vegetal, sal, crema ácida, lechuga,",40,168,./Dataset/EnchiladasVerdes
24,ensalada de nopales,"Nopales, cebolla, jitomate, queso panela, cilantro, orégano, sal,vegetariano,acompañamiento,salado, ácido,norte, centro, sur","Nopales, cebolla, jitomate, queso panela, cilantro, orégano, sal,",25,332,./Dataset/EnsaladaDeNopales
25,escamoles,"Cebolla blanca, matequilla, aceite, chile serrano, escamoles, epazote, sal, tortillas, queso,no vegetariano,acompañamiento,salado,amargo,centro, sur","Cebolla blanca, matequilla, aceite, chile serrano, escamoles, epazote, sal, tortillas, queso,",25,838,./Dataset/Escamoles
26,gelatina de mosaico,"Gelatina sabor uva, gelatina sabor fresa, gelatina sabor limón, gelatina sabor piña, leche condensada, leche evaporada, media crema, grenetina, fresas, mango, limón, menta,vegetariano,postre,dulce,norte, centro","Gelatina sabor uva, gelatina sabor fresa, gelatina sabor limón, gelatina sabor piña, leche condensada, leche evaporada, media crema, grenetina, fresas, mango, limón, menta,",192,171,./Dataset/GelatinaDeMosaico
27,gorditas,"Harina de maíz, sal, agua, frijoles, carne de res, queso, cilantro,no vegetariano,principal,salado,norte, centro, sur","Harina de maíz, sal, agua, frijoles, carne de res, queso, cilantro,",35,164,./Dataset/Gorditas
28,guacamole,"Aguacate, tomate, cebolla, chile jalapeño, cilantro fresco, limón, sal,vegetariano,acompañamiento,salado,norte, centro, sur","Aguacate, tomate, cebolla, chile jalapeño, cilantro fresco, limón, sal,",15,152,./Dataset/Guacamole
29,huaraches,"Masa de maíz, polvo para hornear, frijoles, aceite, bistec, cebolla, cilantro, queso, sal, pimienta, crema, chile serrano, chile guajillo, tomate,no vegetariano,principal,salado,centro, sur","Masa de maíz, polvo para hornear, frijoles, aceite, bistec, cebolla, cilantro, queso, sal, pimienta, crema, chile serrano, chile guajillo, tomate,",35,350,./Dataset/Huarache
30,huevos rancheros,"Jitomate, chile serrano, cebolla, ajo, aceite, sal, pimienta, tortilla de maíz, huevos, frijol,no vegetariano,principal,salado, picante,norte","Jitomate, chile serrano, cebolla, ajo, aceite, sal, pimienta, tortilla de maíz, huevos, frijol,",25,140,./Dataset/HuevosRancheros
31,machacado,"Aceite, cebolla, ajo, chile serrano, jitomate, carne seca, huevo, sal, pimienta,no vegetariano,principal,salado,norte","Aceite, cebolla, ajo, chile serrano, jitomate, carne seca, huevo, sal, pimienta,",35,184,./Dataset/Machacado
32,merengues,"Azúcar, huevo, vainilla, vinagre, colorante,vegetariano,dulce,dulce, ácido,centro","Azúcar, huevo, vainilla, vinagre, colorante,",35,79,./Dataset/MerenguesMexicanos
33,mole poblano,"Manteca, chile pasilla, chile ancho, caldo de pollo, almendras, cacahuates, nuez, semillas de calabaza, ajonjolí, tomate verde, jitomate, clavos, anís, comino, tomillo, orégano, ajo, cebolla, sal, chocolate, azúcar, tortillas de maíz,vegetariano,principal,salado, picante, ácido, dulce, amargo,centro, sur","Manteca, chile pasilla, chile ancho, caldo de pollo, almendras, cacahuates, nuez, semillas de calabaza, ajonjolí, tomate verde, jitomate, clavos, anís, comino, tomillo, orégano, ajo, cebolla, sal, chocolate, azúcar, tortillas de maíz,",240,118,./Dataset/Mole
34,muéganos,"Harina, polvo para hornear, manteca, leche, aceite, piloncillo, agua,no vegetariano,dulce,dulce,norte, centro, sur","Harina, polvo para hornear, manteca, leche, aceite, piloncillo, agua,",105,180,./Dataset/MueganosMexicanos
35,palanqueta,"Agua, azúcar mascabado, piloncillo, miel, cacahuates, margarina, semillas de calabaza, ajonjolí,vegetariano,dulce,dulce, amargo,centro, sur","Agua, azúcar mascabado, piloncillo, miel, cacahuates, margarina, semillas de calabaza, ajonjolí,",50,230,./Dataset/Palanqueta
36,pambazos,"Chile guajillo, cebolla, ajo, agua, chorizo, papas, bolillo, lechuga, crema agria,no vegetariano,principal,salado, picante,centro, sur","Chile guajillo, cebolla, ajo, agua, chorizo, papas, bolillo, lechuga, crema agria,",55,320,./Dataset/Pambazos
37,pan de pulque,"Huevo, pulque blanco, azúcar, harina de trigo, mantequilla, levadura, ajonjolí,no vegetariano,cena,dulce, ácido,sur","Huevo, pulque blanco, azúcar, harina de trigo, mantequilla, levadura, ajonjolí,",110,295,./Dataset/PanDePulque
38,pescado a la veracruzana,"Filete de pescado, pimienta blanca, aceite de oliva, ajo, jitomate, pimiento morrón, laurel, knorr, aceitunas,no vegetariano,principal,salado, ácido,sur","Filete de pescado, pimienta blanca, aceite de oliva, ajo, jitomate, pimiento morrón, laurel, knorr, aceitunas,",50,315,./Dataset/PescadoALaVeracruzana
39,pico de gallo,"Tomate, cebolla, chile jalapeño, cilantro, limón, sal, aguacate,vegetariano,acompañamiento,salado, picante, ácido,norte, centro, sur","Tomate, cebolla, chile jalapeño, cilantro, limón, sal, aguacate,",30,31,./Dataset/PicoDeGallo
40,pipian,"Semilla de calabaza, cacahuate, tomate verde, cebolla, ajo, lechuga, rábano, aceite, cilantro, caldo de pollo, chile serrano, pollo, calabaza, canela, comino, epazote, pimienta,no vegetariano,principal,salado, picante,centro, sur","Semilla de calabaza, cacahuate, tomate verde, cebolla, ajo, lechuga, rábano, aceite, cilantro, caldo de pollo, chile serrano, pollo, calabaza, canela, comino, epazote, pimienta,",80,160,./Dataset/Pipian
41,pozole,"Pollo, agua, maíz pozolero, cebolla, ajo, sal, chile ancho, chile guajillo, aceite, orégano, lechuga, rábanos, tortillas, limones, aguacate, agua,no vegetariano,principal,salado, picante, ácido,norte, centro, sur","Pollo, agua, maíz pozolero, cebolla, ajo, sal, chile ancho, chile guajillo, aceite, orégano, lechuga, rábanos, tortillas, limones, aguacate, agua,",65,228,./Dataset/Pozole
42,quesadillas,"Tortilla, queso, champiñones, carne, pollo, cebolla, tomate, ajo, chile serrano, aceite, manteca de cerdo, epazote, sal,no vegetariano,principal,salado,norte, centro, sur","Tortilla, queso, champiñones, carne, pollo, cebolla, tomate, ajo, chile serrano, aceite, manteca de cerdo, epazote, sal,",35,293,./Dataset/Quesadillas
43,sopes,"Maseca, agua, sal, frijol, queso, lechuga, aceite, tomate, cilantro, cebolla, chile, crema,no vegetariano,principal,salado,centro, sur","Maseca, agua, sal, frijol, queso, lechuga, aceite, tomate, cilantro, cebolla, chile, crema,",20,87,./Dataset/Sopes
44,tacos,"Tortilla, carne, ajo, tomate, sal, pimienta, chile, aceite, cilantro, limón, cebolla,no vegetariano,principal,salado,norte, centro","Tortilla, carne, ajo, tomate, sal, pimienta, chile, aceite, cilantro, limón, cebolla,",60,226,./Dataset/Tacos
45,tamales,"Pollo, tomate verde, chile serrano, ajo, cebolla, manteca, polvo para hornear, sal, caldo de pollo, harina de maíz, hojas de maíz,no vegetariano,principal,salado, picante, dulce,norte, centro, sur","Pollo, tomate verde, chile serrano, ajo, cebolla, manteca, polvo para hornear, sal, caldo de pollo, harina de maíz, hojas de maíz,",115,612,./Dataset/Tamales
46,tlayudas,"Frijol negro, manteca de cerdo, lechuga, repollo, queso oaxaca, jitomates, chiles verdes, aguacate, rábano, tortillas,no vegetariano,principal,salado,centro, sur","Frijol negro, manteca de cerdo, lechuga, repollo, queso oaxaca, jitomates, chiles verdes, aguacate, rábano, tortillas,",30,297,./Dataset/Tlayudas
